,_id,countRes
0,USA,5098
1,GBR,698
2,CAN,303
3,IND,243
4,DEU,205
5,FRA,191
6,ISR,142
7,AUS,141
8,ESP,121
9,NLD,91
10,CHN,82
11,JPN,74
12,IRL,73
13,SWE,61
14,ITA,57
15,CHE,54
16,BEL,42
17,ARG,39
18,SGP,37
19,DNK,28
20,RUS,26
21,BRA,25
22,ZAF,24
23,TUR,23
24,PRT,23
25,NZL,22
26,ROM,21
27,AUT,20
28,NOR,20
29,FIN,18
30,KOR,18
31,GRC,16
32,HKG,16
33,CZE,15
34,POL,15
35,TWN,14
36,MEX,13
37,MYS,13
38,UKR,13
39,PHL,12
40,THA,12
41,ARE,10
42,PAK,10
43,ISL,7
44,JOR,6
45,SVN,6
46,COL,6
47,CYP,6
48,EST,6
49,URY,6
50,VNM,5
51,BGR,5
52,CHL,5
53,MLT,4
54,HUN,4
55,EGY,4
56,LTU,4
57,HRV,4
58,BGD,4
59,LKA,3
60,LUX,3
61,ANT,3
62,BRB,3
63,CRI,3
64,IDN,3
65,LVA,3
66,PAN,2
67,UZB,2
68,KAZ,2
69,CSS,2
70,MUS,2
71,LIE,2
72,SDN,2
73,CIV,2
74,TUN,1
75,UMI,1
76,NIC,1
77,BOL,1
78,REU,1
79,ECU,1
80,LBN,1
81,BFA,1
82,DOM,1
83,LAO,1
84,ALB,1
85,IRQ,1
86,SAU,1
87,KGZ,1
88,GIN,1
89,QAT,1
90,PST,1
91,AFG,1
92,ATG,1
93,BIH,1
94,ARA,1
95,NGA,1
96,MAR,1
97,VGB,1
98,MKD,1
99,BMU,1
