,_id,companiesPerYear
0,,2849
1,1800.0,2
2,1802.0,1
3,1833.0,1
4,1835.0,1
5,1840.0,2
6,1843.0,1
7,1844.0,1
8,1846.0,1
9,1851.0,1
10,1854.0,2
11,1857.0,1
12,1861.0,1
13,1865.0,2
14,1867.0,1
15,1868.0,1
16,1870.0,1
17,1880.0,1
18,1881.0,1
19,1883.0,1
20,1888.0,2
21,1890.0,2
22,1896.0,1
23,1897.0,1
24,1898.0,1
25,1899.0,1
26,1900.0,1
27,1901.0,1
28,1902.0,1
29,1906.0,1
30,1909.0,1
31,1912.0,1
32,1914.0,1
33,1915.0,2
34,1918.0,1
35,1920.0,1
36,1921.0,3
37,1922.0,4
38,1923.0,3
39,1924.0,1
40,1926.0,2
41,1928.0,1
42,1930.0,4
43,1933.0,3
44,1937.0,2
45,1938.0,1
46,1940.0,1
47,1943.0,1
48,1945.0,1
49,1946.0,4
50,1947.0,3
51,1948.0,1
52,1950.0,2
53,1951.0,1
54,1952.0,1
55,1954.0,1
56,1957.0,2
57,1958.0,2
58,1959.0,4
59,1960.0,1
60,1961.0,2
61,1962.0,3
62,1963.0,3
63,1964.0,1
64,1965.0,1
65,1966.0,4
66,1967.0,3
67,1968.0,7
68,1969.0,6
69,1970.0,3
70,1971.0,6
71,1972.0,4
72,1973.0,3
73,1974.0,4
74,1975.0,2
75,1976.0,7
76,1977.0,1
77,1978.0,12
78,1979.0,9
79,1980.0,13
80,1981.0,9
81,1982.0,12
82,1983.0,17
83,1984.0,19
84,1985.0,13
85,1986.0,18
86,1987.0,21
87,1988.0,13
88,1989.0,28
89,1990.0,24
90,1991.0,22
91,1992.0,34
92,1993.0,37
93,1994.0,43
94,1995.0,73
95,1996.0,115
96,1997.0,88
97,1998.0,147
98,1999.0,250
99,2000.0,276
100,2001.0,247
101,2002.0,256
102,2003.0,291
103,2004.0,385
104,2005.0,467
105,2006.0,744
106,2007.0,1159
107,2008.0,1224
108,2009.0,357
109,2010.0,33
110,2011.0,22
111,2012.0,17
112,2013.0,5
