,_id,count
0,web,1947
1,,1407
2,software,1356
3,games_video,528
4,mobile,520
5,advertising,476
6,other,468
7,enterprise,386
8,network_hosting,322
9,consulting,317
10,ecommerce,315
11,public_relations,280
12,search,204
13,biotech,194
14,hardware,174
15,cleantech,155
16,semiconductor,92
17,security,73
18,social,34
19,analytics,32
20,finance,27
21,news,25
22,education,22
23,music,18
24,messaging,17
25,legal,15
26,photo_video,13
27,medical,13
28,manufacturing,12
29,health,11
30,travel,10
31,fashion,8
32,sports,7
33,real_estate,5
34,transportation,4
35,nanotech,4
36,hospitality,4
37,automotive,2
38,nonprofit,2
39,design,1
